scorer,,,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel
bodyparts,,,left_pupil,left_pupil,right_pupil,right_pupil,corner_left,corner_left,corner_right,corner_right
coords,,,x,y,x,y,x,y,x,y
labeled-data,2,img0035.png,306.1692858902746,302.5607494336811,365.7784482031535,301.725106971351,293.63464895532337,302.5607494336811,376.08470523855783,301.44655948390766
labeled-data,2,img0045.png,301.43397860373744,291.4188499359467,357.42202357985275,291.14030244850335,290.57062659344643,291.69739742339004,369.6781130273606,292.8115873731635
labeled-data,2,img0069.png,320.3872353943046,203.3268500405323,383.23072333715925,203.3268500405323,307.51304862823366,203.9814697066037,393.2682248835874,203.54505659588943
labeled-data,2,img0085.png,319.2005785355251,201.7381829968706,384.84356749043985,199.30696118372558,306.5582251071712,202.71067172212858,396.2703100122213,200.52257209029807
labeled-data,2,img0089.png,324.5492665244441,205.14189353527357,389.94913329804433,203.44003826607207,311.90691309609014,206.60062662316057,401.1327536385113,205.38501571658804
labeled-data,2,img0125.png,314.5812570905496,215.10990296916802,379.25175732020637,212.67868115602303,302.9113923874537,216.56863605705502,392.1372329298748,213.164925518652
labeled-data,2,img0169.png,312.87940182134815,218.027369144942,378.52239077626285,216.082391694426,299.5076818490507,219.486102232829,387.51791148489934,214.86678078785351
labeled-data,2,img0222.png,307.28759165111467,221.18795750203049,372.93058060602937,217.7842469636275,296.8333378545912,221.431079683345,385.08668967175436,217.7842469636275
labeled-data,2,img0262.png,306.0719807445422,222.40356840860298,371.9580918807714,218.7567356888855,294.4021160414462,222.889812771232,383.1417122212383,218.2704913262565
labeled-data,2,img0292.png,302.4251480248247,224.83479022174797,369.5268700676264,221.18795750203049,290.9984055030433,225.07791240306247,380.71049040809334,220.70171313940148
labeled-data,2,img0299.png,305.0994920192842,223.37605713386097,371.2287253368279,218.7567356888855,291.4846498656722,224.83479022174797,380.95361258940784,218.9998578702
labeled-data,2,img0352.png,295.61772694801874,226.05040112832046,362.2332046281914,221.431079683345,282.7322513383503,227.02288985357848,375.3618024191744,219.7292244141435
labeled-data,2,img0365.png,291.72777204698673,224.34854585911899,358.34324972715945,219.2429800515145,281.27351825046327,224.83479022174797,373.4168249686584,217.7842469636275
labeled-data,2,img0375.png,290.51216114041426,224.5916680404335,357.613883183216,218.7567356888855,280.0579073438908,226.29352330963496,372.2012140620859,218.027369144942
labeled-data,2,img0425.png,294.88836040407523,226.77976767226397,360.77447154030443,220.70171313940148,281.5166404317778,228.23850076015094,370.2562366115699,219.486102232829
labeled-data,2,img0473.png,288.0809393272693,232.12845566118295,355.42578355138545,225.07791240306247,278.8422964373183,233.10094438644094,367.33877043579594,224.10542367780448
labeled-data,2,img0533.png,293.18650513487376,229.45411166672346,359.07261627110296,222.1604462272885,278.8422964373183,230.66972257329596,368.7975035236829,220.94483532071598
