scorer,,,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel
bodyparts,,,left_pupil,left_pupil,right_pupil,right_pupil,corner_left,corner_left,corner_right,corner_right
coords,,,x,y,x,y,x,y,x,y
labeled-data,1,img0052.png,289.99831374947723,232.63939731938783,345.91052490947345,228.92840985301638,279.1127505147877,233.87639314151164,360.25967644610967,228.18621235974211
labeled-data,1,img0074.png,294.451498709123,233.87639314151164,348.6319157181458,229.91800651071543,279.854948008062,235.36078812806022,360.0122772816849,229.91800651071543
labeled-data,1,img0078.png,294.20409954469824,232.8867964838126,349.6215123758449,228.43361152416688,280.5971455013363,234.12379230593638,360.25967644610967,228.68101068859164
labeled-data,1,img0099.png,294.9462970379725,231.89719982611354,349.1267140469954,228.43361152416688,284.060733803283,233.13419564823735,359.0226806239858,228.68101068859164
labeled-data,1,img0105.png,293.4619020514239,230.66020400398975,348.8793148825706,227.19661570204306,282.5763388167344,232.8867964838126,360.25967644610967,227.44401486646782
labeled-data,1,img0109.png,293.4619020514239,229.6706073462907,348.6319157181458,226.9492165376183,282.32893965230966,231.64980066168877,359.2700797884106,226.9492165376183
labeled-data,1,img0120.png,292.9671037225744,230.66020400398975,348.13711738929635,227.44401486646782,281.58674215903534,232.8867964838126,360.25967644610967,227.6914140308926
labeled-data,1,img0131.png,293.4619020514239,232.39199815496306,347.88971822487156,228.68101068859164,280.8445446657611,234.37119147036117,359.0226806239858,228.18621235974211
labeled-data,1,img0150.png,292.47230539372487,232.8867964838126,346.6527224027477,229.4232081818659,279.60754884363723,235.11338896363543,358.52788229513635,228.92840985301638
labeled-data,1,img0155.png,291.4827087360258,232.8867964838126,346.15792407389824,228.68101068859164,280.5971455013363,234.6185906347859,359.2700797884106,227.93881319531735
labeled-data,1,img0160.png,291.97750706487534,233.13419564823735,347.1475207315973,228.68101068859164,280.10234717248676,234.12379230593638,359.0226806239858,228.43361152416688
labeled-data,1,img0184.png,295.68849453124676,232.1445989905383,350.6111090335439,228.18621235974211,283.56593547443345,232.63939731938783,360.25967644610967,228.92840985301638
labeled-data,1,img0188.png,296.4306920245211,229.6706073462907,352.0955040200925,226.9492165376183,282.8237379811592,231.402401497264,359.2700797884106,226.207019044344
labeled-data,1,img0197.png,297.91508701106966,227.93881319531735,352.8377015133668,225.21742238664496,285.29772962540676,227.93881319531735,361.991470597083,224.4752248933707
labeled-data,1,img0203.png,298.9046836687687,227.44401486646782,353.5798990066411,224.72262405779543,284.5555321321325,227.93881319531735,362.4862689259325,223.48562823567164
labeled-data,1,img0219.png,294.9462970379725,228.68101068859164,349.6215123758449,225.46482155106975,283.56593547443345,229.91800651071543,361.2492731038087,225.71222071549448
labeled-data,1,img0222.png,293.70930121584865,229.17580901744117,348.8793148825706,225.46482155106975,281.83414132346013,230.90760316841448,361.2492731038087,225.46482155106975
