timestamp,x,y
2025-02-24T18:32:36.4033647-05:00,30,15
2025-02-24T18:32:37.5405818-05:00,20,19
2025-02-24T18:32:38.8347690-05:00,33,22
2025-02-24T18:32:40.0430806-05:00,28,21
2025-02-24T18:32:41.1496425-05:00,11,28
2025-02-24T18:32:42.3184694-05:00,32,20
2025-02-24T18:33:16.3179174-05:00,23,14
2025-02-24T18:33:17.7352070-05:00,41,9
2025-02-24T18:33:18.9495004-05:00,12,28
2025-02-24T18:33:20.1468230-05:00,29,20
2025-02-24T18:33:21.3074558-05:00,16,29
2025-02-24T18:33:22.7970290-05:00,13,12
2025-02-24T18:33:24.1661531-05:00,19,20
2025-02-24T18:33:25.2570376-05:00,23,22
2025-02-24T18:33:26.3529747-05:00,23,25
2025-02-24T18:33:27.6045595-05:00,19,31
2025-02-24T18:33:28.9406210-05:00,28,23
2025-02-24T18:33:30.0047395-05:00,20,22
2025-02-24T18:33:31.3909858-05:00,9,13
2025-02-24T18:33:33.0029123-05:00,25,26
2025-02-24T18:33:34.0647337-05:00,26,18
2025-02-24T18:33:35.1040351-05:00,13,31
2025-02-24T18:33:36.2217533-05:00,30,18
2025-02-24T18:33:37.2050507-05:00,29,12
2025-02-24T18:33:38.3903836-05:00,15,16
2025-02-24T18:33:39.4688586-05:00,41,21
2025-02-24T18:33:40.5217126-05:00,15,31
2025-02-24T18:33:41.8414187-05:00,31,24
