timestamp,x,y
2025-02-25T15:16:04.5781639-05:00,34,14
2025-02-25T15:16:05.5907131-05:00,18,20
2025-02-25T15:16:06.3720026-05:00,25,3
2025-02-25T15:16:07.5284585-05:00,16,11
2025-02-25T15:16:08.6134481-05:00,18,26
2025-02-25T15:16:09.6460335-05:00,44,12
2025-02-25T15:16:10.6842127-05:00,19,14
2025-02-25T15:16:11.6988501-05:00,21,24
2025-02-25T15:16:12.8979767-05:00,12,14
2025-02-25T15:17:09.9447376-05:00,30,31
2025-02-25T15:17:10.9979517-05:00,27,29
2025-02-25T15:17:12.0526413-05:00,4,24
2025-02-25T15:17:13.0526337-05:00,38,37
2025-02-25T15:17:14.0527926-05:00,22,34
2025-02-25T15:17:15.0537892-05:00,22,33
2025-02-25T15:17:16.0062333-05:00,29,28
2025-02-25T15:17:16.8319695-05:00,31,8
2025-02-25T15:17:17.7286087-05:00,28,28
2025-02-25T15:17:18.6662224-05:00,26,21
2025-02-25T15:17:19.7866434-05:00,27,29
2025-02-25T15:17:20.6977088-05:00,29,34
2025-02-25T15:17:21.6022283-05:00,16,7
2025-02-25T15:17:22.6569051-05:00,37,17
2025-02-25T15:17:23.3717652-05:00,14,23
2025-02-25T15:17:24.3741217-05:00,40,11
2025-02-25T15:17:25.3947140-05:00,21,15
2025-02-25T15:17:26.6021878-05:00,26,19
2025-02-25T15:17:27.4901473-05:00,47,25
2025-02-25T15:17:28.3307550-05:00,28,18
2025-02-25T15:17:29.3646809-05:00,14,16
2025-02-25T15:17:30.5372898-05:00,22,21
2025-02-25T15:17:31.6314070-05:00,26,2
2025-02-25T15:17:32.8116582-05:00,31,38
2025-02-25T15:17:33.7843961-05:00,29,8
2025-02-25T15:17:34.9265950-05:00,13,6
2025-02-25T15:17:35.8304251-05:00,2,17
2025-02-25T15:17:36.8423822-05:00,6,16
2025-02-25T15:17:37.9509195-05:00,41,26
2025-02-25T15:17:39.0618288-05:00,12,10
2025-02-25T15:17:40.3310573-05:00,16,9
2025-02-25T15:17:41.3158049-05:00,40,10
2025-02-25T15:17:42.2909685-05:00,37,32
2025-02-25T15:17:43.2355503-05:00,29,46
2025-02-25T15:17:44.2852387-05:00,39,14
2025-02-25T15:17:47.5298165-05:00,27,13
2025-02-25T15:17:48.4606168-05:00,32,31
2025-02-25T15:17:49.2046938-05:00,26,31
2025-02-25T15:17:50.4774821-05:00,3,11
2025-02-25T15:17:51.4573325-05:00,26,36
2025-02-25T15:17:52.4665435-05:00,23,31
2025-02-25T15:17:53.4342776-05:00,9,38
2025-02-25T15:17:54.3306632-05:00,22,18
2025-02-25T15:17:55.0368963-05:00,32,7
2025-02-25T15:17:55.9510039-05:00,8,18
2025-02-25T15:17:57.7745151-05:00,36,22
2025-02-25T15:17:58.8325025-05:00,18,29
2025-02-25T15:17:59.7672719-05:00,18,23
2025-02-25T15:18:00.8316630-05:00,28,7
2025-02-25T15:18:01.8302010-05:00,9,20
2025-02-25T15:18:02.7520677-05:00,40,27
2025-02-25T15:18:03.6967901-05:00,17,36
2025-02-25T15:18:04.7671758-05:00,43,32
2025-02-25T15:18:05.7117247-05:00,26,23
2025-02-25T15:18:06.4017487-05:00,18,33
2025-02-25T15:18:07.5559228-05:00,28,13
2025-02-25T15:18:08.5051240-05:00,3,37
2025-02-25T15:18:09.3469179-05:00,28,34
2025-02-25T15:18:10.1954101-05:00,9,31
2025-02-25T15:18:11.2922253-05:00,17,9
2025-02-25T15:18:12.2101770-05:00,20,12
2025-02-25T15:21:09.0831323-05:00,25,31
2025-02-25T15:21:09.9443953-05:00,25,20
2025-02-25T15:21:10.7126586-05:00,26,39
2025-02-25T15:21:11.7431831-05:00,14,16
2025-02-25T15:21:12.6425029-05:00,25,16
2025-02-25T15:21:14.1559196-05:00,17,45
2025-02-25T15:21:15.5515143-05:00,27,8
2025-02-25T15:21:16.5052135-05:00,39,24
2025-02-25T15:21:17.5753882-05:00,19,13
2025-02-25T15:21:18.6079332-05:00,31,20
2025-02-25T15:21:19.6453258-05:00,11,16
2025-02-25T15:21:20.8374995-05:00,16,26
2025-02-25T15:21:22.1683683-05:00,25,17
2025-02-25T15:21:23.2730786-05:00,21,19
2025-02-25T15:21:24.1799674-05:00,12,17
